,x,y,z,rf
365,122,206,19,-27
366,123,206,19,-29
367,124,206,19,-24
368,125,206,19,-26
369,125,207,19,-24
370,124,207,19,-24
371,123,207,19,-23
372,122,207,19,-27
373,121,207,19,-30
374,120,207,19,-31
375,119,207,19,-28
376,118,207,19,-28
377,117,207,19,-28
378,116,207,19,-26
379,115,207,19,-23
380,114,207,19,-28
381,113,207,19,-23
382,112,207,19,-26
383,111,207,19,-26
384,110,207,19,-27
385,109,207,19,-27
386,108,207,19,-26
387,107,207,19,-25
388,106,207,19,-28
389,105,207,19,-24
390,104,207,19,-27
391,103,207,19,-24
392,102,207,19,-24
393,101,207,19,-27
394,100,207,19,-25
395,99,207,19,-24
396,98,207,19,-29
397,97,207,19,-29
398,96,207,19,-23
399,95,207,19,-24
400,94,207,19,-22
401,93,207,19,-25
402,92,207,19,-24
403,91,207,19,-19
404,90,207,19,-24
405,89,207,19,-26
406,88,207,19,-27
407,87,207,19,-30
408,86,207,19,-30
409,85,207,19,-29
410,85,208,19,-28
411,86,208,19,-27
412,87,208,19,-24
413,88,208,19,-27
414,89,208,19,-25
415,90,208,19,-25
416,91,208,19,-25
417,92,208,19,-26
418,93,208,19,-28
419,94,208,19,-27
420,95,208,19,-24
421,96,208,19,-22
422,97,208,19,-22
423,98,208,19,-25
424,99,208,19,-25
425,100,208,19,-28
426,101,208,19,-23
427,102,208,19,-28
428,103,208,19,-27
429,104,208,19,-23
430,105,208,19,-23
431,106,208,19,-22
432,107,208,19,-28
433,108,208,19,-29
434,109,208,19,-28
435,110,208,19,-22
436,111,208,19,-27
437,112,208,19,-27
438,113,208,19,-28
439,114,208,19,-24
440,115,208,19,-24
441,116,208,19,-28
442,117,208,19,-27
443,118,208,19,-27
444,119,208,19,-28
445,120,208,19,-23
446,121,208,19,-26
447,122,208,19,-23
448,123,208,19,-24
449,124,208,19,-21
450,125,208,19,-30
451,125,209,19,-31
452,124,209,19,-25
453,123,209,19,-22
454,122,209,19,-25
455,121,209,19,-24
456,120,209,19,-23
457,119,209,19,-27
458,118,209,19,-22
459,117,209,19,-30
460,116,209,19,-24
461,115,209,19,-23
462,114,209,19,-27
463,113,209,19,-25
464,112,209,19,-25
465,111,209,19,-29
466,110,209,19,-24
467,109,209,19,-24
468,108,209,19,-27
469,107,209,19,-22
470,106,209,19,-27
471,105,209,19,-28
472,104,209,19,-25
473,103,209,19,-30
474,102,209,19,-25
475,101,209,19,-25
476,100,209,19,-28
477,99,209,19,-27
478,98,209,19,-25
479,97,209,19,-21
480,96,209,19,-25
481,95,209,19,-21
482,94,209,19,-31
483,93,209,19,-29
484,92,209,19,-25
485,91,209,19,-27
486,90,209,19,-28
487,89,209,19,-23
488,88,209,19,-28
489,87,209,19,-27
490,86,209,19,-20
491,85,209,19,-28
492,85,210,19,-20
493,86,210,19,-26
494,87,210,19,-26
495,88,210,19,-28
496,89,210,19,-27
497,90,210,19,-24
498,91,210,19,-33
499,92,210,19,-27
500,93,210,19,-27
501,94,210,19,-23
502,95,210,19,-24
