,x,y,z
520,113,210,103.02
521,114,210,99.52
522,115,210,103.4
523,116,210,104.04
524,117,210,98.66
525,118,210,104.16
526,119,210,92.66
527,120,210,94.62
528,121,210,99.14
529,122,210,92.62
530,123,210,95.36
531,124,210,96.8
532,125,210,97.54
533,125,211,99.36
534,124,211,100.6
535,123,211,92.96
536,122,211,96.76
537,121,211,97.32
538,120,211,92.7
539,119,211,80.84
540,118,211,70.54
541,117,211,99.14
542,116,211,104.38
543,115,211,100.34
544,114,211,73.04
545,113,211,90.04
546,112,211,101.4
547,111,211,99.0
548,110,211,96.62
549,109,211,93.44
550,108,211,97.74
551,107,211,88.38
552,106,211,101.44
553,105,211,96.8
554,104,211,95.12
555,103,211,92.52
556,102,211,96.22
557,101,211,98.24
558,100,211,93.2
559,99,211,97.44
560,98,211,95.6
561,97,211,104.72
562,96,211,101.5
563,95,211,91.9
564,94,211,89.74
565,93,211,102.06
566,92,211,85.36
567,91,211,100.42
568,90,211,100.1
569,89,211,87.84
570,88,211,79.98
571,87,211,93.32
572,86,211,88.12
573,85,211,85.14
574,85,212,101.92
575,86,212,102.12
576,87,212,103.88
577,88,212,104.26
578,89,212,105.24
579,90,212,104.14
580,91,212,104.08
581,92,212,106.1
582,93,212,105.64
583,94,212,102.74
584,95,212,106.04
585,96,212,104.68
586,97,212,103.46
587,98,212,101.5
588,99,212,94.0
589,100,212,98.72
590,101,212,96.26
591,102,212,91.52
592,103,212,97.54
593,104,212,101.12
594,105,212,96.26
595,106,212,95.96
596,107,212,92.26
597,108,212,91.86
598,109,212,93.82
599,110,212,99.92
600,111,212,97.82
601,112,212,101.18
602,113,212,104.4
603,114,212,74.16
604,115,212,104.28
605,116,212,103.48
606,117,212,100.64
607,118,212,100.86
608,119,212,82.94
609,120,212,77.82
610,121,212,97.32
611,122,212,93.42
612,123,212,89.14
613,124,212,98.14
614,125,212,96.88
615,125,213,99.92
616,124,213,98.6
617,123,213,92.56
618,122,213,94.82
619,121,213,94.72
620,120,213,100.04
621,119,213,97.6
622,118,213,99.16
623,117,213,95.06
624,116,213,105.28
625,115,213,104.52
626,114,213,83.34
627,113,213,101.3
628,112,213,101.22
629,111,213,98.8
630,110,213,100.3
